Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,9900,570.11,60.0,3,1
1,2,3,9900,415.57,60.0,3,1
2,4,5,950,87.02,20.0,1,5
3,5,4,950,87.02,20.0,1,5
4,6,7,950,51.92,20.0,1,4
5,8,9,950,91.22,20.0,1,5
6,9,8,950,91.22,20.0,1,5
7,8,10,950,95.29,20.0,1,5
8,10,8,950,95.29,20.0,1,5
9,11,12,950,15.88,20.0,1,4
10,13,14,9900,397.63,60.0,3,1
11,15,16,950,96.31,20.0,1,4
12,17,18,950,141.11,20.0,1,5
13,18,17,950,141.11,20.0,1,5
14,17,19,950,57.37,20.0,1,5
15,19,17,950,57.37,20.0,1,5
16,20,21,950,22.33,20.0,1,5
17,21,20,950,22.33,20.0,1,5
18,20,22,950,148.12,20.0,1,5
19,22,20,950,148.12,20.0,1,5
20,23,24,950,30.07,20.0,1,4
21,25,26,950,66.52,20.0,1,5
22,26,25,950,66.52,20.0,1,5
23,25,27,950,99.28,20.0,1,5
24,27,25,950,99.28,20.0,1,5
25,28,29,9900,454.88,60.0,3,1
26,30,31,5400,303.15,40.0,2,3
27,32,33,950,94.63,20.0,1,5
28,33,32,950,94.63,20.0,1,5
29,34,28,9900,194.7,60.0,3,1
30,32,35,950,404.27,20.0,1,5
31,35,32,950,404.27,20.0,1,5
32,34,36,950,179.19,20.0,1,4
33,37,38,950,214.02,20.0,1,4
34,39,40,5400,137.42,40.0,2,3
35,41,42,950,315.07,20.0,1,4
36,43,39,5400,64.95,40.0,2,3
37,44,45,950,89.67,20.0,1,4
38,43,46,5400,54.65,40.0,2,3
39,47,48,950,64.2,20.0,1,5
40,48,47,950,64.2,20.0,1,5
41,47,49,950,49.59,20.0,1,5
42,49,47,950,49.59,20.0,1,5
43,50,51,950,76.15,20.0,1,4
44,50,52,950,21.97,20.0,1,4
45,53,54,950,106.19,20.0,1,4
46,55,56,950,88.13,20.0,1,4
47,57,58,950,169.47,20.0,1,5
48,58,57,950,169.47,20.0,1,5
49,57,59,950,415.11,20.0,1,5
50,59,57,950,415.11,20.0,1,5
51,60,61,950,186.06,20.0,1,4
52,62,63,950,97.05,20.0,1,4
53,64,65,950,129.69,20.0,1,5
54,65,64,950,129.69,20.0,1,5
55,64,66,950,95.69,20.0,1,5
56,66,64,950,95.69,20.0,1,5
57,67,65,950,169.81,20.0,1,4
58,68,69,950,96.91,20.0,1,4
59,70,71,950,13.02,20.0,1,4
60,71,70,950,13.02,20.0,1,4
61,70,72,950,83.39,20.0,1,4
62,73,74,950,96.79,20.0,1,5
63,74,73,950,96.79,20.0,1,5
64,73,75,950,93.9,20.0,1,5
65,75,73,950,93.9,20.0,1,5
66,76,77,950,29.27,20.0,1,4
67,77,76,950,29.27,20.0,1,4
68,76,78,950,77.61,20.0,1,4
69,78,76,950,77.61,20.0,1,4
72,77,79,950,63.29,20.0,1,4
73,79,77,950,63.29,20.0,1,4
74,80,81,950,108.08,20.0,1,5
75,81,80,950,108.08,20.0,1,5
76,80,82,950,104.21,20.0,1,5
77,82,80,950,104.21,20.0,1,5
78,83,84,950,90.46,20.0,1,4
79,85,86,950,107.19,20.0,1,4
80,86,85,950,107.19,20.0,1,4
81,85,87,950,105.91,20.0,1,4
82,87,85,950,105.91,20.0,1,4
83,88,89,9900,283.54,60.0,3,1
84,90,91,950,117.73,20.0,1,4
85,91,90,950,117.73,20.0,1,4
86,90,92,950,175.93,20.0,1,4
87,92,90,950,175.93,20.0,1,4
88,88,93,9900,445.0,60.0,3,1
89,93,94,9900,192.55,60.0,3,1
90,95,96,950,133.22,20.0,1,4
91,97,98,950,11.33,20.0,1,4
92,97,99,950,35.18,20.0,1,4
93,94,100,9900,1418.19,60.0,3,1
94,101,102,950,17.74,20.0,1,4
95,103,104,950,78.5,20.0,1,4
96,105,103,950,39.05,20.0,1,4
97,106,107,950,107.15,20.0,1,5
98,107,106,950,107.15,20.0,1,5
99,106,108,950,70.69,20.0,1,5
100,108,106,950,70.69,20.0,1,5
101,105,109,950,39.16,20.0,1,4
102,110,111,950,106.37,20.0,1,4
103,112,113,9900,311.25,60.0,3,1
104,114,115,950,291.76,20.0,1,4
105,116,114,950,48.11,20.0,1,4
106,112,117,9900,603.96,60.0,3,1
107,116,118,950,30.49,20.0,1,4
108,116,119,9900,512.54,60.0,3,1
109,120,116,950,171.66,20.0,1,4
110,121,122,950,250.8,20.0,1,5
111,122,121,950,250.8,20.0,1,5
112,121,123,950,248.92,20.0,1,4
113,124,125,950,33.51,20.0,1,4
114,124,126,950,203.0,20.0,1,5
115,126,124,950,203.0,20.0,1,5
116,124,127,950,97.9,20.0,1,5
117,127,124,950,97.9,20.0,1,5
118,128,129,950,96.55,20.0,1,5
119,129,128,950,96.55,20.0,1,5
120,113,130,9900,24.6,60.0,3,1
121,128,131,950,160.6,20.0,1,5
122,131,128,950,160.6,20.0,1,5
123,113,132,9900,30.27,60.0,3,1
124,133,134,950,83.14,20.0,1,4
125,135,136,950,12.88,20.0,1,4
126,130,137,950,18.42,20.0,1,4
127,130,132,950,24.28,20.0,1,4
128,138,139,950,107.72,20.0,1,5
129,139,138,950,107.72,20.0,1,5
130,138,140,950,274.73,20.0,1,5
131,140,138,950,274.73,20.0,1,5
132,141,142,9900,437.07,60.0,3,1
133,143,144,950,96.07,20.0,1,5
134,144,143,950,96.07,20.0,1,5
135,143,145,950,80.02,20.0,1,5
136,145,143,950,80.02,20.0,1,5
137,145,146,950,12.0,20.0,1,5
138,146,145,950,12.0,20.0,1,5
141,147,148,950,14.44,20.0,1,5
142,148,147,950,14.44,20.0,1,5
143,141,149,9900,1139.66,60.0,3,1
144,147,150,950,133.52,20.0,1,4
145,147,146,950,130.84,20.0,1,5
146,146,147,950,130.84,20.0,1,5
149,148,151,950,300.28,20.0,1,5
150,151,148,950,300.28,20.0,1,5
151,148,152,950,158.79,20.0,1,4
152,151,153,950,10.99,20.0,1,5
153,153,151,950,10.99,20.0,1,5
156,151,154,950,108.5,20.0,1,4
159,153,155,950,90.71,20.0,1,4
160,142,156,950,84.31,20.0,1,4
161,153,157,950,52.64,20.0,1,5
162,157,153,950,52.64,20.0,1,5
163,157,158,950,124.88,20.0,1,5
164,158,157,950,124.88,20.0,1,5
167,158,159,950,99.41,20.0,1,5
168,159,158,950,99.41,20.0,1,5
171,159,160,950,104.57,20.0,1,5
172,160,159,950,104.57,20.0,1,5
175,161,162,9900,440.38,60.0,3,1
176,160,163,950,110.67,20.0,1,5
177,163,160,950,110.67,20.0,1,5
180,163,164,950,111.42,20.0,1,5
181,164,163,950,111.42,20.0,1,5
184,165,166,950,113.39,20.0,1,5
185,166,165,950,113.39,20.0,1,5
186,165,167,950,111.68,20.0,1,5
187,167,165,950,111.68,20.0,1,5
188,161,168,9900,1475.0,60.0,3,1
189,166,169,950,98.12,20.0,1,5
190,169,166,950,98.12,20.0,1,5
193,169,170,950,121.05,20.0,1,5
194,170,169,950,121.05,20.0,1,5
199,170,171,950,108.39,20.0,1,5
200,171,170,950,108.39,20.0,1,5
201,170,172,950,152.52,20.0,1,5
202,172,170,950,152.52,20.0,1,5
203,173,174,950,9.42,20.0,1,4
204,175,176,950,142.91,20.0,1,5
205,176,175,950,142.91,20.0,1,5
206,175,177,950,83.7,20.0,1,5
207,177,175,950,83.7,20.0,1,5
208,173,178,950,191.64,20.0,1,5
209,179,180,950,123.3,20.0,1,4
210,181,182,950,46.1,20.0,1,4
211,183,184,950,370.81,20.0,1,4
212,185,186,950,13.73,20.0,1,4
213,186,185,950,13.73,20.0,1,4
214,185,187,950,107.23,20.0,1,4
217,186,188,950,125.68,20.0,1,4
218,189,190,950,53.55,20.0,1,4
219,183,191,9900,399.32,60.0,3,1
220,192,193,950,121.91,20.0,1,4
221,184,194,950,207.23,20.0,1,4
222,195,196,950,94.73,20.0,1,4
223,197,198,950,121.06,20.0,1,4
224,194,199,950,14.22,20.0,1,4
225,194,200,950,46.16,20.0,1,5
