node_id,community_id
0,105
1,105
2,105
3,105
4,1
5,1
6,2
7,2
8,3
9,3
10,3
11,2
12,4
13,5
14,5
15,6
16,6
17,6
18,6
19,6
20,7
21,7
22,7
23,5
24,5
25,7
26,7
27,7
28,8
29,8
30,9
31,9
32,9
33,9
34,8
35,9
36,8
37,2
38,2
39,17
40,17
41,2
42,2
43,17
44,2
45,2
46,17
47,11
48,11
49,11
50,12
51,12
52,12
53,13
54,13
55,14
56,14
57,14
58,14
59,14
60,15
61,15
62,16
63,16
64,17
65,17
66,17
67,17
68,18
69,18
70,19
71,19
72,19
73,20
74,20
75,20
76,20
77,20
78,20
79,20
80,20
81,20
82,20
83,21
84,22
85,23
86,23
87,23
88,5
89,5
90,23
91,23
92,23
93,5
94,24
95,25
96,25
97,26
98,27
99,27
100,24
101,27
102,26
103,28
104,28
105,28
106,29
107,29
108,29
109,28
110,29
111,29
112,30
113,30
114,105
115,105
116,105
117,30
118,105
119,105
120,105
121,105
122,105
123,105
124,105
125,105
126,105
127,105
128,4
129,4
130,30
131,4
132,30
133,9
134,9
135,9
136,22
137,30
138,11
139,11
140,11
141,31
142,31
143,13
144,13
145,13
146,13
147,13
148,13
149,31
150,13
151,13
152,13
153,32
154,13
155,32
156,31
157,32
158,32
159,32
160,32
161,31
162,31
163,32
164,32
165,32
166,32
167,32
168,31
169,32
170,32
171,32
172,32
173,33
174,33
175,11
176,11
177,11
178,33
179,34
180,34
181,34
182,34
183,33
184,33
185,35
186,36
187,35
188,36
189,36
190,36
191,33
192,36
193,36
194,33
195,36
196,36
197,36
198,36
199,33
200,33
201,33
202,14
203,14
204,14
205,14
206,33
207,9
208,9
209,33
210,33
211,9
212,9
213,9
214,9
215,9
216,37
217,37
218,9
219,9
220,22
221,22
222,22
223,22
224,22
225,22
226,22
227,37
228,38
229,38
230,39
231,39
232,39
233,38
234,4
235,4
236,38
237,31
238,31
239,40
240,40
241,40
242,31
243,41
244,41
245,31
246,42
247,42
248,42
249,42
250,42
251,43
252,43
253,44
254,44
255,45
256,45
257,43
258,46
259,46
260,47
261,47
262,48
263,48
264,48
265,47
266,49
267,49
268,49
269,49
270,47
271,50
272,50
273,50
274,47
275,51
276,39
277,39
278,39
279,51
280,51
281,50
282,50
283,50
284,52
285,52
286,52
287,51
288,52
289,52
290,52
291,52
292,52
293,52
294,52
295,51
296,52
297,52
298,52
299,52
300,52
301,51
302,51
303,53
304,53
305,53
306,51
307,51
308,51
309,54
310,77
311,54
312,54
313,54
314,15
315,15
316,47
317,56
318,56
319,56
320,56
321,21
322,21
323,47
324,57
325,51
326,47
327,39
328,39
329,39
330,39
331,57
332,19
333,19
334,19
335,19
336,19
337,30
338,30
339,30
340,30
341,30
342,30
343,30
344,30
345,30
346,30
347,30
348,30
349,25
350,25
351,30
352,30
353,58
354,58
355,58
356,58
357,58
358,58
359,58
360,58
361,59
362,59
363,59
364,25
365,59
366,59
367,59
368,58
369,58
370,58
371,58
372,58
373,58
374,58
375,58
376,58
377,19
378,19
379,19
380,19
381,19
382,19
383,19
384,56
385,56
386,16
387,16
388,16
389,16
390,5
391,5
392,60
393,60
394,61
395,61
396,5
397,5
398,43
399,43
400,62
401,62
402,62
403,3
404,46
405,12
406,12
407,63
408,12
409,12
410,12
411,15
412,33
413,33
414,64
415,64
416,15
417,24
418,24
419,64
420,64
421,64
422,64
423,41
424,41
425,41
426,24
427,12
428,12
429,12
430,65
431,65
432,65
433,12
