t,S,I,R
0,21374,15,0
1,21374,15,0
2,21372,17,0
3,21371,18,0
4,21366,20,3
5,21362,24,3
6,21359,26,4
7,21355,27,7
8,21353,28,8
9,21348,32,9
10,21340,39,10
11,21335,43,11
12,21327,47,15
13,21324,46,19
14,21318,49,22
15,21314,48,27
16,21311,48,30
17,21306,48,35
18,21304,47,38
19,21303,42,44
20,21297,46,46
21,21289,50,50
22,21280,55,54
23,21277,56,56
24,21265,67,57
25,21256,73,60
26,21254,69,66
27,21251,68,70
28,21244,73,72
29,21238,74,77
30,21226,82,81
31,21221,82,86
32,21214,85,90
33,21205,90,94
34,21194,94,101
35,21183,99,107
36,21179,98,112
37,21172,101,116
38,21170,99,120
39,21165,97,127
40,21158,101,130
41,21151,100,138
42,21146,96,147
43,21141,96,152
44,21135,99,155
45,21127,104,158
46,21122,106,161
47,21118,105,166
48,21111,110,168
49,21104,112,173
50,21099,114,176
51,21095,107,187
52,21091,101,197
53,21086,103,200
54,21083,104,202
55,21081,101,207
56,21075,97,217
57,21070,98,221
58,21065,99,225
59,21057,104,228
60,21049,105,235
