O_ID,D_ID,OD_Number,origin,destination,trips
10000000,10000000,12,10000000,10000000,12.0
10000000,10000001,1,10000000,10000001,1.0
10000000,10000002,4,10000000,10000002,4.0
10000000,10000004,2,10000000,10000004,2.0
10000000,10000005,2,10000000,10000005,2.0
10000000,10000008,4,10000000,10000008,4.0
10000000,10000009,36,10000000,10000009,36.0
10000000,10000010,3,10000000,10000010,3.0
10000000,10000012,1,10000000,10000012,1.0
10000000,10000013,12,10000000,10000013,12.0
10000000,10000015,21,10000000,10000015,21.0
10000000,10000016,3,10000000,10000016,3.0
10000000,10000017,2,10000000,10000017,2.0
10000000,10000018,2,10000000,10000018,2.0
10000000,10000019,1,10000000,10000019,1.0
10000000,10000020,20,10000000,10000020,20.0
10000000,10000021,3,10000000,10000021,3.0
10000000,10000025,33,10000000,10000025,33.0
10000000,10000027,2,10000000,10000027,2.0
10000000,10000028,2,10000000,10000028,2.0
10000000,10000029,1,10000000,10000029,1.0
10000000,10000034,2,10000000,10000034,2.0
10000000,10000035,1,10000000,10000035,1.0
10000000,10000036,1,10000000,10000036,1.0
10000000,10000037,3,10000000,10000037,3.0
10000000,10000039,1,10000000,10000039,1.0
10000000,10000052,1,10000000,10000052,1.0
10000000,10000054,3,10000000,10000054,3.0
10000000,10000057,1,10000000,10000057,1.0
10000000,10000058,1,10000000,10000058,1.0
10000000,10000059,1,10000000,10000059,1.0
10000000,10000062,3,10000000,10000062,3.0
10000000,10000069,1,10000000,10000069,1.0
10000000,10000070,11,10000000,10000070,11.0
10000000,10000073,10,10000000,10000073,10.0
10000000,10000074,32,10000000,10000074,32.0
10000000,10000076,4,10000000,10000076,4.0
10000000,10000077,8,10000000,10000077,8.0
10000000,10000078,7,10000000,10000078,7.0
10000000,10000079,2,10000000,10000079,2.0
10000000,10000080,1,10000000,10000080,1.0
10000000,10000082,4,10000000,10000082,4.0
10000000,10000083,3,10000000,10000083,3.0
10000000,10000084,7,10000000,10000084,7.0
10000000,10000085,16,10000000,10000085,16.0
10000000,10000086,52,10000000,10000086,52.0
10000000,10000087,24,10000000,10000087,24.0
10000000,10000088,1,10000000,10000088,1.0
10000000,10000089,7,10000000,10000089,7.0
10000000,10000090,1,10000000,10000090,1.0
10000000,10000091,4,10000000,10000091,4.0
10000000,10000093,5,10000000,10000093,5.0
10000000,10000094,1,10000000,10000094,1.0
10000000,10000097,7,10000000,10000097,7.0
10000000,10000098,1,10000000,10000098,1.0
10000000,10000100,2,10000000,10000100,2.0
10000000,10000101,5,10000000,10000101,5.0
10000000,10000102,2,10000000,10000102,2.0
10000000,10000103,1,10000000,10000103,1.0
10000000,10000104,1,10000000,10000104,1.0
10000000,10000107,7,10000000,10000107,7.0
10000000,10000110,3,10000000,10000110,3.0
10000000,10000111,6,10000000,10000111,6.0
10000000,10000112,3,10000000,10000112,3.0
10000000,10000113,13,10000000,10000113,13.0
10000000,10000114,2,10000000,10000114,2.0
10000000,10000115,12,10000000,10000115,12.0
10000000,10000116,4,10000000,10000116,4.0
10000000,10000117,44,10000000,10000117,44.0
